left_context,Candidate_words,right_context,target_status 
"<start> Murderous thieves make their home here."" She failed to keep the tremor from her voice. ""Absolutely,"" Jonas replied. ""Dangerous animals too.""","""Without","a doubt."" She slanted a look toward him. ""Perfect place for you."" He repressed a snort. ""Oh, such compliments, your highness. You're going to make me blush. <end>",0
"<start> Murderous thieves make their home here."" She failed to keep the tremor from her voice. ""Absolutely,"" Jonas replied. ""Dangerous animals too."" ""Without",a,"doubt."" She slanted a look toward him. ""Perfect place for you."" He repressed a snort. ""Oh, such compliments, your highness. You're going to make me blush. <end>",0
"<start> Murderous thieves make their home here."" She failed to keep the tremor from her voice. ""Absolutely,"" Jonas replied. ""Dangerous animals too."" ""Without a","doubt.""","She slanted a look toward him. ""Perfect place for you."" He repressed a snort. ""Oh, such compliments, your highness. You're going to make me blush. <end>",0
"<start> Murderous thieves make their home here."" She failed to keep the tremor from her voice. ""Absolutely,"" Jonas replied. ""Dangerous animals too."" ""Without a doubt.""",She,"slanted a look toward him. ""Perfect place for you."" He repressed a snort. ""Oh, such compliments, your highness. You're going to make me blush. <end>",0
"<start> Murderous thieves make their home here."" She failed to keep the tremor from her voice. ""Absolutely,"" Jonas replied. ""Dangerous animals too."" ""Without a doubt."" She",slanted,"a look toward him. ""Perfect place for you."" He repressed a snort. ""Oh, such compliments, your highness. You're going to make me blush. <end>",0
"<start> Murderous thieves make their home here."" She failed to keep the tremor from her voice. ""Absolutely,"" Jonas replied. ""Dangerous animals too."" ""Without a doubt."" She slanted",a,"look toward him. ""Perfect place for you."" He repressed a snort. ""Oh, such compliments, your highness. You're going to make me blush. <end>",0
"<start> Murderous thieves make their home here."" She failed to keep the tremor from her voice. ""Absolutely,"" Jonas replied. ""Dangerous animals too."" ""Without a doubt."" She slanted a",look,"toward him. ""Perfect place for you."" He repressed a snort. ""Oh, such compliments, your highness. You're going to make me blush. <end>",0
"<start> Murderous thieves make their home here."" She failed to keep the tremor from her voice. ""Absolutely,"" Jonas replied. ""Dangerous animals too."" ""Without a doubt."" She slanted a look",toward,"him. ""Perfect place for you."" He repressed a snort. ""Oh, such compliments, your highness. You're going to make me blush. <end>",0
"<start> Murderous thieves make their home here."" She failed to keep the tremor from her voice. ""Absolutely,"" Jonas replied. ""Dangerous animals too."" ""Without a doubt."" She slanted a look toward",him.,"""Perfect place for you."" He repressed a snort. ""Oh, such compliments, your highness. You're going to make me blush. <end>",0
"<start> Murderous thieves make their home here."" She failed to keep the tremor from her voice. ""Absolutely,"" Jonas replied. ""Dangerous animals too."" ""Without a doubt."" She slanted a look toward him.","""Perfect","place for you."" He repressed a snort. ""Oh, such compliments, your highness. You're going to make me blush. <end>",0
"<start> Murderous thieves make their home here."" She failed to keep the tremor from her voice. ""Absolutely,"" Jonas replied. ""Dangerous animals too."" ""Without a doubt."" She slanted a look toward him. ""Perfect",place,"for you."" He repressed a snort. ""Oh, such compliments, your highness. You're going to make me blush. <end>",0
"<start> Murderous thieves make their home here."" She failed to keep the tremor from her voice. ""Absolutely,"" Jonas replied. ""Dangerous animals too."" ""Without a doubt."" She slanted a look toward him. ""Perfect place",for,"you."" He repressed a snort. ""Oh, such compliments, your highness. You're going to make me blush. <end>",0
"<start> Murderous thieves make their home here."" She failed to keep the tremor from her voice. ""Absolutely,"" Jonas replied. ""Dangerous animals too."" ""Without a doubt."" She slanted a look toward him. ""Perfect place for","you.""","He repressed a snort. ""Oh, such compliments, your highness. You're going to make me blush. <end>",0
"<start> Murderous thieves make their home here."" She failed to keep the tremor from her voice. ""Absolutely,"" Jonas replied. ""Dangerous animals too."" ""Without a doubt."" She slanted a look toward him. ""Perfect place for you.""",He,"repressed a snort. ""Oh, such compliments, your highness. You're going to make me blush. <end>",0
"<start> Murderous thieves make their home here."" She failed to keep the tremor from her voice. ""Absolutely,"" Jonas replied. ""Dangerous animals too."" ""Without a doubt."" She slanted a look toward him. ""Perfect place for you."" He",repressed,"a snort. ""Oh, such compliments, your highness. You're going to make me blush. <end>",0
"<start> Murderous thieves make their home here."" She failed to keep the tremor from her voice. ""Absolutely,"" Jonas replied. ""Dangerous animals too."" ""Without a doubt."" She slanted a look toward him. ""Perfect place for you."" He repressed",a,"snort. ""Oh, such compliments, your highness. You're going to make me blush. <end>",0
"<start> Murderous thieves make their home here."" She failed to keep the tremor from her voice. ""Absolutely,"" Jonas replied. ""Dangerous animals too."" ""Without a doubt."" She slanted a look toward him. ""Perfect place for you."" He repressed a",snort.,"""Oh, such compliments, your highness. You're going to make me blush. <end>",0
"<start> Murderous thieves make their home here."" She failed to keep the tremor from her voice. ""Absolutely,"" Jonas replied. ""Dangerous animals too."" ""Without a doubt."" She slanted a look toward him. ""Perfect place for you."" He repressed a snort.","""Oh,","such compliments, your highness. You're going to make me blush. <end>",0
"<start> Murderous thieves make their home here."" She failed to keep the tremor from her voice. ""Absolutely,"" Jonas replied. ""Dangerous animals too."" ""Without a doubt."" She slanted a look toward him. ""Perfect place for you."" He repressed a snort. ""Oh,",such,"compliments, your highness. You're going to make me blush. <end>",0
"<start> Murderous thieves make their home here."" She failed to keep the tremor from her voice. ""Absolutely,"" Jonas replied. ""Dangerous animals too."" ""Without a doubt."" She slanted a look toward him. ""Perfect place for you."" He repressed a snort. ""Oh, such","compliments,",your highness. You're going to make me blush. <end>,0
"<start> Murderous thieves make their home here."" She failed to keep the tremor from her voice. ""Absolutely,"" Jonas replied. ""Dangerous animals too."" ""Without a doubt."" She slanted a look toward him. ""Perfect place for you."" He repressed a snort. ""Oh, such compliments,",your,highness. You're going to make me blush. <end>,0
"<start> Murderous thieves make their home here."" She failed to keep the tremor from her voice. ""Absolutely,"" Jonas replied. ""Dangerous animals too."" ""Without a doubt."" She slanted a look toward him. ""Perfect place for you."" He repressed a snort. ""Oh, such compliments, your",highness.,You're going to make me blush. <end>,0
"<start> Murderous thieves make their home here."" She failed to keep the tremor from her voice. ""Absolutely,"" Jonas replied. ""Dangerous animals too."" ""Without a doubt."" She slanted a look toward him. ""Perfect place for you."" He repressed a snort. ""Oh, such compliments, your highness.",You're,going to make me blush. <end>,0
"<start> Murderous thieves make their home here."" She failed to keep the tremor from her voice. ""Absolutely,"" Jonas replied. ""Dangerous animals too."" ""Without a doubt."" She slanted a look toward him. ""Perfect place for you."" He repressed a snort. ""Oh, such compliments, your highness. You're",going,to make me blush. <end>,0
"<start> Murderous thieves make their home here."" She failed to keep the tremor from her voice. ""Absolutely,"" Jonas replied. ""Dangerous animals too."" ""Without a doubt."" She slanted a look toward him. ""Perfect place for you."" He repressed a snort. ""Oh, such compliments, your highness. You're going",to,make me blush. <end>,0
"<start> Murderous thieves make their home here."" She failed to keep the tremor from her voice. ""Absolutely,"" Jonas replied. ""Dangerous animals too."" ""Without a doubt."" She slanted a look toward him. ""Perfect place for you."" He repressed a snort. ""Oh, such compliments, your highness. You're going to",make,me blush. <end>,0
"<start> Murderous thieves make their home here."" She failed to keep the tremor from her voice. ""Absolutely,"" Jonas replied. ""Dangerous animals too."" ""Without a doubt."" She slanted a look toward him. ""Perfect place for you."" He repressed a snort. ""Oh, such compliments, your highness. You're going to make",me,blush. <end>,0
"<start> Murderous thieves make their home here."" She failed to keep the tremor from her voice. ""Absolutely,"" Jonas replied. ""Dangerous animals too."" ""Without a doubt."" She slanted a look toward him. ""Perfect place for you."" He repressed a snort. ""Oh, such compliments, your highness. You're going to make me",blush.,<end>,0
<start>,Mr.,"Bennet, how can you abuse your own children in such a way? You take delight in vexing me. You have no compassion for my poor nerves."" ""You mistake me, my dear. I have a high respect for your nerves. They are my old friends. I have heard you mention them with consideration these last twenty years at least. <end>",0
<start> Mr.,"Bennet,","how can you abuse your own children in such a way? You take delight in vexing me. You have no compassion for my poor nerves."" ""You mistake me, my dear. I have a high respect for your nerves. They are my old friends. I have heard you mention them with consideration these last twenty years at least. <end>",0
"<start> Mr. Bennet,",how,"can you abuse your own children in such a way? You take delight in vexing me. You have no compassion for my poor nerves."" ""You mistake me, my dear. I have a high respect for your nerves. They are my old friends. I have heard you mention them with consideration these last twenty years at least. <end>",0
"<start> Mr. Bennet, how",can,"you abuse your own children in such a way? You take delight in vexing me. You have no compassion for my poor nerves."" ""You mistake me, my dear. I have a high respect for your nerves. They are my old friends. I have heard you mention them with consideration these last twenty years at least. <end>",0
"<start> Mr. Bennet, how can",you,"abuse your own children in such a way? You take delight in vexing me. You have no compassion for my poor nerves."" ""You mistake me, my dear. I have a high respect for your nerves. They are my old friends. I have heard you mention them with consideration these last twenty years at least. <end>",0
"<start> Mr. Bennet, how can you",abuse,"your own children in such a way? You take delight in vexing me. You have no compassion for my poor nerves."" ""You mistake me, my dear. I have a high respect for your nerves. They are my old friends. I have heard you mention them with consideration these last twenty years at least. <end>",0
"<start> Mr. Bennet, how can you abuse",your,"own children in such a way? You take delight in vexing me. You have no compassion for my poor nerves."" ""You mistake me, my dear. I have a high respect for your nerves. They are my old friends. I have heard you mention them with consideration these last twenty years at least. <end>",0
"<start> Mr. Bennet, how can you abuse your",own,"children in such a way? You take delight in vexing me. You have no compassion for my poor nerves."" ""You mistake me, my dear. I have a high respect for your nerves. They are my old friends. I have heard you mention them with consideration these last twenty years at least. <end>",0
"<start> Mr. Bennet, how can you abuse your own",children,"in such a way? You take delight in vexing me. You have no compassion for my poor nerves."" ""You mistake me, my dear. I have a high respect for your nerves. They are my old friends. I have heard you mention them with consideration these last twenty years at least. <end>",0
"<start> Mr. Bennet, how can you abuse your own children",in,"such a way? You take delight in vexing me. You have no compassion for my poor nerves."" ""You mistake me, my dear. I have a high respect for your nerves. They are my old friends. I have heard you mention them with consideration these last twenty years at least. <end>",0
"<start> Mr. Bennet, how can you abuse your own children in",such,"a way? You take delight in vexing me. You have no compassion for my poor nerves."" ""You mistake me, my dear. I have a high respect for your nerves. They are my old friends. I have heard you mention them with consideration these last twenty years at least. <end>",0
"<start> Mr. Bennet, how can you abuse your own children in such",a,"way? You take delight in vexing me. You have no compassion for my poor nerves."" ""You mistake me, my dear. I have a high respect for your nerves. They are my old friends. I have heard you mention them with consideration these last twenty years at least. <end>",0
"<start> Mr. Bennet, how can you abuse your own children in such a",way?,"You take delight in vexing me. You have no compassion for my poor nerves."" ""You mistake me, my dear. I have a high respect for your nerves. They are my old friends. I have heard you mention them with consideration these last twenty years at least. <end>",0
"<start> Mr. Bennet, how can you abuse your own children in such a way?",You,"take delight in vexing me. You have no compassion for my poor nerves."" ""You mistake me, my dear. I have a high respect for your nerves. They are my old friends. I have heard you mention them with consideration these last twenty years at least. <end>",0
"<start> Mr. Bennet, how can you abuse your own children in such a way? You",take,"delight in vexing me. You have no compassion for my poor nerves."" ""You mistake me, my dear. I have a high respect for your nerves. They are my old friends. I have heard you mention them with consideration these last twenty years at least. <end>",0
"<start> Mr. Bennet, how can you abuse your own children in such a way? You take",delight,"in vexing me. You have no compassion for my poor nerves."" ""You mistake me, my dear. I have a high respect for your nerves. They are my old friends. I have heard you mention them with consideration these last twenty years at least. <end>",0
"<start> Mr. Bennet, how can you abuse your own children in such a way? You take delight",in,"vexing me. You have no compassion for my poor nerves."" ""You mistake me, my dear. I have a high respect for your nerves. They are my old friends. I have heard you mention them with consideration these last twenty years at least. <end>",0
"<start> Mr. Bennet, how can you abuse your own children in such a way? You take delight in",vexing,"me. You have no compassion for my poor nerves."" ""You mistake me, my dear. I have a high respect for your nerves. They are my old friends. I have heard you mention them with consideration these last twenty years at least. <end>",0
"<start> Mr. Bennet, how can you abuse your own children in such a way? You take delight in vexing",me.,"You have no compassion for my poor nerves."" ""You mistake me, my dear. I have a high respect for your nerves. They are my old friends. I have heard you mention them with consideration these last twenty years at least. <end>",0
"<start> Mr. Bennet, how can you abuse your own children in such a way? You take delight in vexing me.",You,"have no compassion for my poor nerves."" ""You mistake me, my dear. I have a high respect for your nerves. They are my old friends. I have heard you mention them with consideration these last twenty years at least. <end>",0
"<start> Mr. Bennet, how can you abuse your own children in such a way? You take delight in vexing me. You",have,"no compassion for my poor nerves."" ""You mistake me, my dear. I have a high respect for your nerves. They are my old friends. I have heard you mention them with consideration these last twenty years at least. <end>",0
"<start> Mr. Bennet, how can you abuse your own children in such a way? You take delight in vexing me. You have",no,"compassion for my poor nerves."" ""You mistake me, my dear. I have a high respect for your nerves. They are my old friends. I have heard you mention them with consideration these last twenty years at least. <end>",0
"<start> Mr. Bennet, how can you abuse your own children in such a way? You take delight in vexing me. You have no",compassion,"for my poor nerves."" ""You mistake me, my dear. I have a high respect for your nerves. They are my old friends. I have heard you mention them with consideration these last twenty years at least. <end>",0
"<start> Mr. Bennet, how can you abuse your own children in such a way? You take delight in vexing me. You have no compassion",for,"my poor nerves."" ""You mistake me, my dear. I have a high respect for your nerves. They are my old friends. I have heard you mention them with consideration these last twenty years at least. <end>",0
"<start> Mr. Bennet, how can you abuse your own children in such a way? You take delight in vexing me. You have no compassion for",my,"poor nerves."" ""You mistake me, my dear. I have a high respect for your nerves. They are my old friends. I have heard you mention them with consideration these last twenty years at least. <end>",0
"<start> Mr. Bennet, how can you abuse your own children in such a way? You take delight in vexing me. You have no compassion for my",poor,"nerves."" ""You mistake me, my dear. I have a high respect for your nerves. They are my old friends. I have heard you mention them with consideration these last twenty years at least. <end>",0
"<start> Mr. Bennet, how can you abuse your own children in such a way? You take delight in vexing me. You have no compassion for my poor","nerves.""","""You mistake me, my dear. I have a high respect for your nerves. They are my old friends. I have heard you mention them with consideration these last twenty years at least. <end>",0
"<start> Mr. Bennet, how can you abuse your own children in such a way? You take delight in vexing me. You have no compassion for my poor nerves.""","""You","mistake me, my dear. I have a high respect for your nerves. They are my old friends. I have heard you mention them with consideration these last twenty years at least. <end>",0
"<start> Mr. Bennet, how can you abuse your own children in such a way? You take delight in vexing me. You have no compassion for my poor nerves."" ""You",mistake,"me, my dear. I have a high respect for your nerves. They are my old friends. I have heard you mention them with consideration these last twenty years at least. <end>",0
"<start> Mr. Bennet, how can you abuse your own children in such a way? You take delight in vexing me. You have no compassion for my poor nerves."" ""You mistake","me,",my dear. I have a high respect for your nerves. They are my old friends. I have heard you mention them with consideration these last twenty years at least. <end>,0
"<start> Mr. Bennet, how can you abuse your own children in such a way? You take delight in vexing me. You have no compassion for my poor nerves."" ""You mistake me,",my,dear. I have a high respect for your nerves. They are my old friends. I have heard you mention them with consideration these last twenty years at least. <end>,0
"<start> Mr. Bennet, how can you abuse your own children in such a way? You take delight in vexing me. You have no compassion for my poor nerves."" ""You mistake me, my",dear.,I have a high respect for your nerves. They are my old friends. I have heard you mention them with consideration these last twenty years at least. <end>,0
"<start> Mr. Bennet, how can you abuse your own children in such a way? You take delight in vexing me. You have no compassion for my poor nerves."" ""You mistake me, my dear.",I,have a high respect for your nerves. They are my old friends. I have heard you mention them with consideration these last twenty years at least. <end>,0
"<start> Mr. Bennet, how can you abuse your own children in such a way? You take delight in vexing me. You have no compassion for my poor nerves."" ""You mistake me, my dear. I",have,a high respect for your nerves. They are my old friends. I have heard you mention them with consideration these last twenty years at least. <end>,0
"<start> Mr. Bennet, how can you abuse your own children in such a way? You take delight in vexing me. You have no compassion for my poor nerves."" ""You mistake me, my dear. I have",a,high respect for your nerves. They are my old friends. I have heard you mention them with consideration these last twenty years at least. <end>,0
"<start> Mr. Bennet, how can you abuse your own children in such a way? You take delight in vexing me. You have no compassion for my poor nerves."" ""You mistake me, my dear. I have a",high,respect for your nerves. They are my old friends. I have heard you mention them with consideration these last twenty years at least. <end>,0
"<start> Mr. Bennet, how can you abuse your own children in such a way? You take delight in vexing me. You have no compassion for my poor nerves."" ""You mistake me, my dear. I have a high",respect,for your nerves. They are my old friends. I have heard you mention them with consideration these last twenty years at least. <end>,0
"<start> Mr. Bennet, how can you abuse your own children in such a way? You take delight in vexing me. You have no compassion for my poor nerves."" ""You mistake me, my dear. I have a high respect",for,your nerves. They are my old friends. I have heard you mention them with consideration these last twenty years at least. <end>,0
"<start> Mr. Bennet, how can you abuse your own children in such a way? You take delight in vexing me. You have no compassion for my poor nerves."" ""You mistake me, my dear. I have a high respect for",your,nerves. They are my old friends. I have heard you mention them with consideration these last twenty years at least. <end>,0
"<start> Mr. Bennet, how can you abuse your own children in such a way? You take delight in vexing me. You have no compassion for my poor nerves."" ""You mistake me, my dear. I have a high respect for your",nerves.,They are my old friends. I have heard you mention them with consideration these last twenty years at least. <end>,0
"<start> Mr. Bennet, how can you abuse your own children in such a way? You take delight in vexing me. You have no compassion for my poor nerves."" ""You mistake me, my dear. I have a high respect for your nerves.",They,are my old friends. I have heard you mention them with consideration these last twenty years at least. <end>,0
"<start> Mr. Bennet, how can you abuse your own children in such a way? You take delight in vexing me. You have no compassion for my poor nerves."" ""You mistake me, my dear. I have a high respect for your nerves. They",are,my old friends. I have heard you mention them with consideration these last twenty years at least. <end>,0
"<start> Mr. Bennet, how can you abuse your own children in such a way? You take delight in vexing me. You have no compassion for my poor nerves."" ""You mistake me, my dear. I have a high respect for your nerves. They are",my,old friends. I have heard you mention them with consideration these last twenty years at least. <end>,0
"<start> Mr. Bennet, how can you abuse your own children in such a way? You take delight in vexing me. You have no compassion for my poor nerves."" ""You mistake me, my dear. I have a high respect for your nerves. They are my",old,friends. I have heard you mention them with consideration these last twenty years at least. <end>,0
"<start> Mr. Bennet, how can you abuse your own children in such a way? You take delight in vexing me. You have no compassion for my poor nerves."" ""You mistake me, my dear. I have a high respect for your nerves. They are my old",friends.,I have heard you mention them with consideration these last twenty years at least. <end>,0
"<start> Mr. Bennet, how can you abuse your own children in such a way? You take delight in vexing me. You have no compassion for my poor nerves."" ""You mistake me, my dear. I have a high respect for your nerves. They are my old friends.",I,have heard you mention them with consideration these last twenty years at least. <end>,0
"<start> Mr. Bennet, how can you abuse your own children in such a way? You take delight in vexing me. You have no compassion for my poor nerves."" ""You mistake me, my dear. I have a high respect for your nerves. They are my old friends. I",have,heard you mention them with consideration these last twenty years at least. <end>,0
"<start> Mr. Bennet, how can you abuse your own children in such a way? You take delight in vexing me. You have no compassion for my poor nerves."" ""You mistake me, my dear. I have a high respect for your nerves. They are my old friends. I have",heard,you mention them with consideration these last twenty years at least. <end>,0
"<start> Mr. Bennet, how can you abuse your own children in such a way? You take delight in vexing me. You have no compassion for my poor nerves."" ""You mistake me, my dear. I have a high respect for your nerves. They are my old friends. I have heard",you,mention them with consideration these last twenty years at least. <end>,0
"<start> Mr. Bennet, how can you abuse your own children in such a way? You take delight in vexing me. You have no compassion for my poor nerves."" ""You mistake me, my dear. I have a high respect for your nerves. They are my old friends. I have heard you",mention,them with consideration these last twenty years at least. <end>,0
"<start> Mr. Bennet, how can you abuse your own children in such a way? You take delight in vexing me. You have no compassion for my poor nerves."" ""You mistake me, my dear. I have a high respect for your nerves. They are my old friends. I have heard you mention",them,with consideration these last twenty years at least. <end>,0
"<start> Mr. Bennet, how can you abuse your own children in such a way? You take delight in vexing me. You have no compassion for my poor nerves."" ""You mistake me, my dear. I have a high respect for your nerves. They are my old friends. I have heard you mention them",with,consideration these last twenty years at least. <end>,0
"<start> Mr. Bennet, how can you abuse your own children in such a way? You take delight in vexing me. You have no compassion for my poor nerves."" ""You mistake me, my dear. I have a high respect for your nerves. They are my old friends. I have heard you mention them with",consideration,these last twenty years at least. <end>,0
"<start> Mr. Bennet, how can you abuse your own children in such a way? You take delight in vexing me. You have no compassion for my poor nerves."" ""You mistake me, my dear. I have a high respect for your nerves. They are my old friends. I have heard you mention them with consideration",these,last twenty years at least. <end>,0
"<start> Mr. Bennet, how can you abuse your own children in such a way? You take delight in vexing me. You have no compassion for my poor nerves."" ""You mistake me, my dear. I have a high respect for your nerves. They are my old friends. I have heard you mention them with consideration these",last,twenty years at least. <end>,0
"<start> Mr. Bennet, how can you abuse your own children in such a way? You take delight in vexing me. You have no compassion for my poor nerves."" ""You mistake me, my dear. I have a high respect for your nerves. They are my old friends. I have heard you mention them with consideration these last",twenty,years at least. <end>,0
"<start> Mr. Bennet, how can you abuse your own children in such a way? You take delight in vexing me. You have no compassion for my poor nerves."" ""You mistake me, my dear. I have a high respect for your nerves. They are my old friends. I have heard you mention them with consideration these last twenty",years,at least. <end>,0
"<start> Mr. Bennet, how can you abuse your own children in such a way? You take delight in vexing me. You have no compassion for my poor nerves."" ""You mistake me, my dear. I have a high respect for your nerves. They are my old friends. I have heard you mention them with consideration these last twenty years",at,least. <end>,0
"<start> Mr. Bennet, how can you abuse your own children in such a way? You take delight in vexing me. You have no compassion for my poor nerves."" ""You mistake me, my dear. I have a high respect for your nerves. They are my old friends. I have heard you mention them with consideration these last twenty years at",least.,<end>,0
<start>,When,"Rose takes to screaming, she starts loud, continues loud, and ends loud. Rose has a very good ear and always screams on the same note. I'd tested her before I burnt the library, and our piano along with it. Rose screams on the note B flat. We don't need a piano anymore now that we have a human tuning fork. <end>",0
<start> When,Rose,"takes to screaming, she starts loud, continues loud, and ends loud. Rose has a very good ear and always screams on the same note. I'd tested her before I burnt the library, and our piano along with it. Rose screams on the note B flat. We don't need a piano anymore now that we have a human tuning fork. <end>",1
<start> When Rose,takes,"to screaming, she starts loud, continues loud, and ends loud. Rose has a very good ear and always screams on the same note. I'd tested her before I burnt the library, and our piano along with it. Rose screams on the note B flat. We don't need a piano anymore now that we have a human tuning fork. <end>",0
<start> When Rose takes,to,"screaming, she starts loud, continues loud, and ends loud. Rose has a very good ear and always screams on the same note. I'd tested her before I burnt the library, and our piano along with it. Rose screams on the note B flat. We don't need a piano anymore now that we have a human tuning fork. <end>",0
<start> When Rose takes to,"screaming,","she starts loud, continues loud, and ends loud. Rose has a very good ear and always screams on the same note. I'd tested her before I burnt the library, and our piano along with it. Rose screams on the note B flat. We don't need a piano anymore now that we have a human tuning fork. <end>",0
"<start> When Rose takes to screaming,",she,"starts loud, continues loud, and ends loud. Rose has a very good ear and always screams on the same note. I'd tested her before I burnt the library, and our piano along with it. Rose screams on the note B flat. We don't need a piano anymore now that we have a human tuning fork. <end>",0
"<start> When Rose takes to screaming, she",starts,"loud, continues loud, and ends loud. Rose has a very good ear and always screams on the same note. I'd tested her before I burnt the library, and our piano along with it. Rose screams on the note B flat. We don't need a piano anymore now that we have a human tuning fork. <end>",0
"<start> When Rose takes to screaming, she starts","loud,","continues loud, and ends loud. Rose has a very good ear and always screams on the same note. I'd tested her before I burnt the library, and our piano along with it. Rose screams on the note B flat. We don't need a piano anymore now that we have a human tuning fork. <end>",0
"<start> When Rose takes to screaming, she starts loud,",continues,"loud, and ends loud. Rose has a very good ear and always screams on the same note. I'd tested her before I burnt the library, and our piano along with it. Rose screams on the note B flat. We don't need a piano anymore now that we have a human tuning fork. <end>",0
"<start> When Rose takes to screaming, she starts loud, continues","loud,","and ends loud. Rose has a very good ear and always screams on the same note. I'd tested her before I burnt the library, and our piano along with it. Rose screams on the note B flat. We don't need a piano anymore now that we have a human tuning fork. <end>",0
"<start> When Rose takes to screaming, she starts loud, continues loud,",and,"ends loud. Rose has a very good ear and always screams on the same note. I'd tested her before I burnt the library, and our piano along with it. Rose screams on the note B flat. We don't need a piano anymore now that we have a human tuning fork. <end>",0
"<start> When Rose takes to screaming, she starts loud, continues loud, and",ends,"loud. Rose has a very good ear and always screams on the same note. I'd tested her before I burnt the library, and our piano along with it. Rose screams on the note B flat. We don't need a piano anymore now that we have a human tuning fork. <end>",0
"<start> When Rose takes to screaming, she starts loud, continues loud, and ends",loud.,"Rose has a very good ear and always screams on the same note. I'd tested her before I burnt the library, and our piano along with it. Rose screams on the note B flat. We don't need a piano anymore now that we have a human tuning fork. <end>",0
"<start> When Rose takes to screaming, she starts loud, continues loud, and ends loud.",Rose,"has a very good ear and always screams on the same note. I'd tested her before I burnt the library, and our piano along with it. Rose screams on the note B flat. We don't need a piano anymore now that we have a human tuning fork. <end>",1
"<start> When Rose takes to screaming, she starts loud, continues loud, and ends loud. Rose",has,"a very good ear and always screams on the same note. I'd tested her before I burnt the library, and our piano along with it. Rose screams on the note B flat. We don't need a piano anymore now that we have a human tuning fork. <end>",0
"<start> When Rose takes to screaming, she starts loud, continues loud, and ends loud. Rose has",a,"very good ear and always screams on the same note. I'd tested her before I burnt the library, and our piano along with it. Rose screams on the note B flat. We don't need a piano anymore now that we have a human tuning fork. <end>",0
"<start> When Rose takes to screaming, she starts loud, continues loud, and ends loud. Rose has a",very,"good ear and always screams on the same note. I'd tested her before I burnt the library, and our piano along with it. Rose screams on the note B flat. We don't need a piano anymore now that we have a human tuning fork. <end>",0
"<start> When Rose takes to screaming, she starts loud, continues loud, and ends loud. Rose has a very",good,"ear and always screams on the same note. I'd tested her before I burnt the library, and our piano along with it. Rose screams on the note B flat. We don't need a piano anymore now that we have a human tuning fork. <end>",0
"<start> When Rose takes to screaming, she starts loud, continues loud, and ends loud. Rose has a very good",ear,"and always screams on the same note. I'd tested her before I burnt the library, and our piano along with it. Rose screams on the note B flat. We don't need a piano anymore now that we have a human tuning fork. <end>",0
"<start> When Rose takes to screaming, she starts loud, continues loud, and ends loud. Rose has a very good ear",and,"always screams on the same note. I'd tested her before I burnt the library, and our piano along with it. Rose screams on the note B flat. We don't need a piano anymore now that we have a human tuning fork. <end>",0
"<start> When Rose takes to screaming, she starts loud, continues loud, and ends loud. Rose has a very good ear and",always,"screams on the same note. I'd tested her before I burnt the library, and our piano along with it. Rose screams on the note B flat. We don't need a piano anymore now that we have a human tuning fork. <end>",0
"<start> When Rose takes to screaming, she starts loud, continues loud, and ends loud. Rose has a very good ear and always",screams,"on the same note. I'd tested her before I burnt the library, and our piano along with it. Rose screams on the note B flat. We don't need a piano anymore now that we have a human tuning fork. <end>",0
"<start> When Rose takes to screaming, she starts loud, continues loud, and ends loud. Rose has a very good ear and always screams",on,"the same note. I'd tested her before I burnt the library, and our piano along with it. Rose screams on the note B flat. We don't need a piano anymore now that we have a human tuning fork. <end>",0
"<start> When Rose takes to screaming, she starts loud, continues loud, and ends loud. Rose has a very good ear and always screams on",the,"same note. I'd tested her before I burnt the library, and our piano along with it. Rose screams on the note B flat. We don't need a piano anymore now that we have a human tuning fork. <end>",0
"<start> When Rose takes to screaming, she starts loud, continues loud, and ends loud. Rose has a very good ear and always screams on the",same,"note. I'd tested her before I burnt the library, and our piano along with it. Rose screams on the note B flat. We don't need a piano anymore now that we have a human tuning fork. <end>",0
"<start> When Rose takes to screaming, she starts loud, continues loud, and ends loud. Rose has a very good ear and always screams on the same",note.,"I'd tested her before I burnt the library, and our piano along with it. Rose screams on the note B flat. We don't need a piano anymore now that we have a human tuning fork. <end>",0
"<start> When Rose takes to screaming, she starts loud, continues loud, and ends loud. Rose has a very good ear and always screams on the same note.",I'd,"tested her before I burnt the library, and our piano along with it. Rose screams on the note B flat. We don't need a piano anymore now that we have a human tuning fork. <end>",0
"<start> When Rose takes to screaming, she starts loud, continues loud, and ends loud. Rose has a very good ear and always screams on the same note. I'd",tested,"her before I burnt the library, and our piano along with it. Rose screams on the note B flat. We don't need a piano anymore now that we have a human tuning fork. <end>",0
"<start> When Rose takes to screaming, she starts loud, continues loud, and ends loud. Rose has a very good ear and always screams on the same note. I'd tested",her,"before I burnt the library, and our piano along with it. Rose screams on the note B flat. We don't need a piano anymore now that we have a human tuning fork. <end>",0
"<start> When Rose takes to screaming, she starts loud, continues loud, and ends loud. Rose has a very good ear and always screams on the same note. I'd tested her",before,"I burnt the library, and our piano along with it. Rose screams on the note B flat. We don't need a piano anymore now that we have a human tuning fork. <end>",0
"<start> When Rose takes to screaming, she starts loud, continues loud, and ends loud. Rose has a very good ear and always screams on the same note. I'd tested her before",I,"burnt the library, and our piano along with it. Rose screams on the note B flat. We don't need a piano anymore now that we have a human tuning fork. <end>",0
